2022-12-20 11:20:03 INFO  RegisterPage :138 - Get validation error message : [[[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error]]
2022-12-20 11:20:03 INFO  RegisterPage :138 - Get validation error message : [[[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error]]
2022-12-20 11:20:03 INFO  RegisterPage :138 - Get validation error message : [[[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (46637a980ef01084bdaf24c0534ee235)] -> class name: field-validation-error]]
2022-12-20 17:20:43 INFO  HomePage :60 - Click on register link : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> link text: Register]
2022-12-20 17:20:44 INFO  RegisterPage :89 - Select gender : [[[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> xpath: //div[@id='gender']//label], [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> xpath: //div[@id='gender']//label]]
2022-12-20 17:20:44 INFO  RegisterPage :98 - Enter first name : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> id: FirstName]
2022-12-20 17:20:44 INFO  RegisterPage :103 - Enter last name : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> id: LastName]
2022-12-20 17:20:44 INFO  RegisterPage :110 - Select day : '10', month : 'March', year : '1997'<br>
2022-12-20 17:20:44 INFO  RegisterPage :115 - Enter email : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> name: Email]
2022-12-20 17:20:44 INFO  RegisterPage :120 - Enter password : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> id: Password]
2022-12-20 17:20:44 INFO  RegisterPage :125 - Enter confirm password : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> id: ConfirmPassword]
2022-12-20 17:20:44 INFO  RegisterPage :129 - Click on register button : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> css selector: #register-button]
2022-12-20 17:20:45 INFO  RegisterPage :147 - Get your register completed text : [[ChromeDriver: chrome on WINDOWS (564f269dfe2a3a5b32c79117dedd3d00)] -> css selector: .result]
2022-12-20 17:21:49 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 17:21:49 INFO  ComputerPage :33 - Get page title text : [[ChromeDriver: chrome on WINDOWS (d97998cb1de53397ea9a91953da8fa04)] -> css selector: div[class='page-title'] h1]
2022-12-20 17:21:53 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 17:21:54 INFO  ComputerPage :40 - Click on sub menu : [[[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
